id,name,category,type,description,terminal_code,airport_code,vibe_tags,slug,available_in_transit,rating,time_required,booking_required,price_level,opening_hours,location_description,image_url,coordinates,status,context
,Guardian Health & Beauty - Level 2 Shop 29,Shopping,,,SIN-T3,SIN,Shop; Quick,guardian-health-beauty-level-2-shop-29,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 29",,,active,
,HERMÈS,Shopping,,,SIN-T3,SIN,Shop,hermes,true,,,false,,,,,,active,
,Irvins Salted Egg,Shopping,,,SIN-T3,SIN,Shop,irvins-salted-egg,true,,,false,,,,,,active,
,Kaboom,Shopping,,,SIN-T3,SIN,Shop,kaboom,true,,,false,,,,,,active,
,Kunthaville,Shopping,,,SIN-T3,SIN,Shop,kunthaville,true,,,false,,,,,,active,
,LEGO® Airport Store,Shopping,,,SIN-T3,SIN,Shop,lego-airport-store,true,,,false,,,,,,active,
,Longchamp,Shopping,,,SIN-T3,SIN,Shop,longchamp,true,,,false,,,,,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 29,Shopping,,,SIN-T3,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-29,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 29",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 19,Shopping,,,SIN-T3,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-19,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 19",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 65,Shopping,,,SIN-T3,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-65,true,,,false,,"{""Monday-Sunday"":""06:00-01:00""}","Level 2, Shop 65",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 10,Shopping,,,SIN-T3,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-10,true,,,false,,"{""Monday-Sunday"":""06:00-01:00""}","Level 2, Shop 10",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 37,Shopping,,,SIN-T3,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-37,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 37",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 3 Shop 7,Shopping,,,SIN-T3,SIN,Shop,lotte-duty-free-wines-spirits-level-3-shop-7,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 3, Shop 7",,,active,
,Louis Vuitton,Shopping,,,SIN-T3,SIN,Shop,louis-vuitton,true,,,false,,,,,,active,
,Sunglass Hut,Shopping,,,SIN-T3,SIN,Shop,sunglass-hut,true,,,false,,,,,,active,
,Swarovski,Shopping,,,SIN-T3,SIN,Shop,swarovski,true,,,false,,,,,,active,
,Tiffany & Co.,Shopping,,,SIN-T3,SIN,Shop,tiffany-co,true,,,false,,,,,,active,
,Time Emporium,Shopping,,,SIN-T3,SIN,Shop,time-emporium,true,,,false,,,,,,active,
,Travelex Money Changer,Shopping,,,SIN-T3,SIN,Quick; Shop,travelex-money-changer,false,,,false,,,,,,active,
,TWG Tea Boutique,Shopping,,,SIN-T3,SIN,Shop,twg-tea-boutique,true,,,false,,,,,,active,
,WH Smith - Level 2 Shop 43,Shopping,,,SIN-T3,SIN,Shop,wh-smith-level-2-shop-43,true,,,false,,"{""Monday-Sunday"":""06:00-01:00""}","Level 2, Shop 43",,,active,
,WH Smith - Level 2 Shop 7,Shopping,,,SIN-T3,SIN,Shop,wh-smith-level-2-shop-7,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 7",,,active,
,apple-store,Shopping,Retail,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,cabin-bar-dfs,Shopping,Retail,,SIN-T3,SIN,Explore,,true,,,false,,{},,,{},active,
,charles-keith,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,coach,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,electronics-computers-sprint-cass-t2,Shopping,Retail,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,fragrance-bak-kwa-t3,Shopping,Food & Gifts,Shopping amenity in SIN-T3,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,furla-t3,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,guardian-health-beauty-sin-t3-basement-24,Shopping,Pharmacy,,SIN-T3,SIN,Shop; Quick,,false,,,false,,{},,,{},active,
,guardian-health-beauty-sin-t3-66,Shopping,Pharmacy,,SIN-T3,SIN,Shop; Quick,,true,,,false,,{},,,{},active,
,guardian-health-beauty-sin-t3-29,Shopping,Pharmacy,,SIN-T3,SIN,Shop; Quick,,true,,,false,,{},,,{},active,
,gucci-t3,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,hermes-t3,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,istudio,Shopping,Electronics,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,kaboom-t3,Shopping,Electronics,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,lacoste,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,longchamp-t3,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t3-level-1-19,Shopping,Duty-Free Store,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t3-level-1-29,Shopping,Duty-Free Store,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t3-level-2-65,Shopping,Duty-Free Store,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t3-level-2-37,Shopping,Duty-Free Store,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t3-level-3-7,Shopping,Duty-Free Store,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,louis-vuitton-t3,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,michael-kors,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,montblanc,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,rituals,Shopping,Retail,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,the-cocoa-trees,Shopping,Retail,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,timberland,Shopping,Fashion & Accessories,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,vessel,Shopping,Retail,,SIN-T3,SIN,Explore,,true,,,false,,{},,,{},active,
,watches-of-switzerland,Shopping,Watches & Jewelry,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,whsmith-t3-level-2-43,Shopping,Books & Convenience,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,whsmith-t3-level-2-7,Shopping,Books & Convenience,,SIN-T3,SIN,Shop,,true,,,false,,{},,,{},active,
,memory-of-lived-space,Attraction,Art Installation,,SIN-T3,SIN,Explore,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t3-level-2-10,Shopping,Duty-Free Store,,SIN-T3,SIN,Shop,,true,,,false,,"{""Monday-Sunday"":""06:00-01:00""}","Level 2, Shop 10",,{},active,
,The Slide@T3,Shopping,Retail,World's tallest slide in an airport,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Foggy Bowls,Shopping,Retail,Mist-filled play areas for children,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Changi Experience Studio,Shopping,Retail,Interactive digital attraction about Changi Airport,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Entertainment Deck,Shopping,Retail,Games and entertainment zone,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Butterfly Garden,Shopping,Retail,Tropical butterfly habitat with flowering plants,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Cactus Garden,Shopping,Retail,Outdoor roof garden with over 100 species of cacti,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Koi Pond,Shopping,Retail,Tranquil pond with Japanese koi fish,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Sunflower Garden,Shopping,Retail,Rooftop garden with viewing gallery,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Bengawan Solo,Shopping,Retail,Traditional Singaporean cakes and kueh,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Tiger Street Lab,Shopping,Retail,Craft beer and local fare,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Din Tai Fung,Shopping,Retail,Renowned Taiwanese restaurant famous for xiaolongbao,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Paradise Dynasty,Shopping,Retail,Known for signature colorful xiaolongbao,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Bee Cheng Hiang,Shopping,Retail,Famous for its barbecued pork jerky,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Ya Kun Kaya Toast,Shopping,Retail,Traditional Singaporean breakfast sets,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Sushi Tei,Shopping,Retail,Premium sushi and Japanese cuisine,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Aerotel Singapore,Shopping,Retail,Airport transit hotel with swimming pool,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,YOTELAIR Singapore Changi,Shopping,Retail,Modern capsule-style transit hotel inside the terminal,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Cathay Pacific Lounge,Services,Lounge,Elegant lounge for Cathay Pacific passengers,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,SATS Premier Lounge,Services,Lounge,Comfortable lounge with shower facilities,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,dnata Lounge,Services,Lounge,Modern lounge with extensive food options,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,UOB Currency Exchange,Services,Banking,Competitive rates for currency exchange,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Telecommunications Kiosk,Shopping,Retail,SIM cards and mobile services,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,TRS Tax Refund,Shopping,Retail,Tourist refund scheme counter,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Spa Express,Shopping,Retail,Quick massage and spa treatments,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Kinokuniya,Shopping,Retail,Comprehensive Japanese bookstore,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Lotte Duty Free,Shopping,Duty-Free Store,Korean duty-free retailer,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Uniqlo,Shopping,Fashion & Accessories,Japanese casual wear designer,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Muji,Shopping,Retail,Minimalist Japanese home goods,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Tokyu Hands,Shopping,Retail,Japanese lifestyle store,SIN-T3,SIN,,,false,,,false,,{},,,{},active,
,Canopy Park,Attraction,,"Indoor park with nets, mazes and slides",SIN-T3,SIN,Chill; Explore,canopy-park-t3,true,,,false,$$,{},,,{},active,
sin-t3-aw,A&W Root Beer,Food & Beverage,Restaurant,"Nostalgic American fast food chain, famous for root beer floats",SIN-T3,SIN,Refuel; Quick,aw-root-beer-t3,true,,,false,$,"{""Monday-Sunday"":""24/7""}","Level 2, Public Area",,"{""lat"":1.3503,""lng"":103.9943}",active,
sin-t3-cultural,Cultural Performances Stage,Entertainment,Performance,Regular cultural performances showcasing Asian heritage,SIN-T3,SIN,Explore,cultural-stage-t3,true,,,false,Free,"{""Performance Times"":""Variable""}","Level 2, Transit Area",,"{""lat"":1.3507,""lng"":103.9947}",active,
sin-t3-jewel-view,Jewel Waterfall Viewpoint,Attraction,Observation,Access point to view the famous Jewel Changi waterfall via Skytrain,SIN-T3,SIN,Explore,jewel-viewpoint-t3,true,,,false,Free,"{""Monday-Sunday"":""05:00-02:30""}",Link to Jewel via Skytrain,,"{""lat"":1.3508,""lng"":103.9948}",active,
,Chandelier,Attraction,,,SIN-T4,SIN,Explore,chandelier,true,,,false,,,,,,active,
,Heritage Zone,Attraction,,,SIN-T4,SIN,Explore,heritage-zone,true,,,false,,,,,,active,
,Immersive Wall,Attraction,,,SIN-T4,SIN,Explore,immersive-wall,true,,,false,,,,,,active,
,Petalclouds,Attraction,,,SIN-T4,SIN,Explore,petalclouds,true,,,false,,,,,,active,
,Steel in Bloom,Attraction,,,SIN-T4,SIN,Explore,steel-in-bloom,false,,,false,,,,,,active,
,Garrett Popcorn Shops®,Shopping,,,SIN-T4,SIN,Shop,garrett-popcorn,true,,,false,,,,,,active,
,Irvins Salted Egg,Shopping,,,SIN-T4,SIN,Shop,irvins-salted-egg,true,,,false,,,,,,active,
,KASHKHA,Shopping,,,SIN-T4,SIN,Shop,kashkha,true,,,false,,,,,,active,
,LEGO® Airport Store,Shopping,,,SIN-T4,SIN,Shop,lego-airport-store,true,,,false,,,,,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 25,Shopping,,,SIN-T4,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-25,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 25",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 1 Shop 12,Shopping,,,SIN-T4,SIN,Shop,lotte-duty-free-wines-spirits-level-1-shop-12,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 1, Shop 12",,,active,
,LOTTE DUTY FREE WINES & SPIRITS - Level 2 Shop 57,Shopping,,,SIN-T4,SIN,Shop,lotte-duty-free-wines-spirits-level-2-shop-57,true,,,false,,"{""Monday-Sunday"":""24/7""}","Level 2, Shop 57",,,active,
,Sunglass Hut,Shopping,,,SIN-T4,SIN,Shop,sunglass-hut,true,,,false,,,,,,active,
,Taste Singapore,Shopping,,,SIN-T4,SIN,Shop,taste-singapore,true,,,false,,,,,,active,
,The Digital Gadgets,Shopping,,,SIN-T4,SIN,Shop,the-digital-gadgets,false,,,false,,,,,,active,
,The Fashion Place,Shopping,,,SIN-T4,SIN,Shop,the-fashion-place,true,,,false,,,,,,active,
,Travelex Money Changer,Shopping,,,SIN-T4,SIN,Quick; Shop,travelex-money-changer,true,,,false,,,,,,active,
,TWG Tea Boutique,Shopping,,,SIN-T4,SIN,Shop,twg-tea-boutique,true,,,false,,,,,,active,
,WH Smith - Level 2 Shop 59,Shopping,,,SIN-T4,SIN,Shop,wh-smith-level-2-shop-59,true,,,false,,"{""Monday-Sunday"":""06:00-00:00""}","Level 2, Shop 59",,,active,
,ZAKKASG,Shopping,,,SIN-T4,SIN,Shop,zakkasg,true,,,false,,,,,,active,
,chandelier,Shopping,Retail,,SIN-T4,SIN,Explore,,true,,,false,,{},,,{},active,
,fila-t4,Shopping,Fashion & Accessories,,SIN-T4,SIN,Shop,,false,,,false,,{},,,{},active,
,garrett-popcorn-t4,Shopping,Snacks & Confectionery,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,heritage-zone,Attractions,Cultural Area,,SIN-T4,SIN,Explore,,true,,,false,,{},,,{},active,
,immersive-wall,Attractions,Cultural Area,,SIN-T4,SIN,Explore,,true,,,false,,{},,,{},active,
,irvins-salted-egg-t4,Food & Beverage,Snacks,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,kashkha,Shopping,Retail,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,lego-airport-store,Shopping,Toys & Games,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t4-level-1-12,Shopping,Duty-Free Store,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t4-level-2-25,Shopping,Duty-Free Store,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,lotte-duty-free-wines-spirits-t4-level-2-57,Shopping,Duty-Free Store,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,petalclouds,Shopping,Retail,,SIN-T4,SIN,Explore,,true,,,false,,{},,,{},active,
,steel-in-bloom,Attraction,Art Installation,,SIN-T4,SIN,Explore,,true,,,false,,{},,,{},active,
,sunglass-hut-t3,Shopping,Retail,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,taste-singapore,Shopping,Retail,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,the-digital-gadgets-t4,Shopping,Retail,,SIN-T4,SIN,Shop,,false,,,false,,{},,,{},active,
,the-fashion-place,Shopping,Retail,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,travelex-money-changer-t3,Services,Currency Exchange,,SIN-T4,SIN,Quick; Shop,,true,,,false,,{},,,{},active,
,travelling-family,Shopping,Retail,,SIN-T4,SIN,Explore,,true,,,false,,{},,,{},active,
,twg-tea-boutique-t3,Food & Beverage,Tea Boutique,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,whsmith-t4-level-2-59,Shopping,Books & Convenience,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,zakkasg,Shopping,Retail,,SIN-T4,SIN,Shop,,true,,,false,,{},,,{},active,
,Manulife Sky Nets,Shopping,Retail,Walking and bouncing nets suspended in the air,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Mirror Maze,Shopping,Retail,Immersive mirror maze experience,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Changi Experience Studio,Shopping,Retail,Interactive digital attraction about Changi Airport,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Entertainment Deck,Shopping,Retail,Games and entertainment zone,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Butterfly Garden,Shopping,Retail,Tropical butterfly habitat with flowering plants,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Cactus Garden,Shopping,Retail,Outdoor roof garden with over 100 species of cacti,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Koi Pond,Shopping,Retail,Tranquil pond with Japanese koi fish,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Sunflower Garden,Shopping,Retail,Rooftop garden with viewing gallery,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Tiger Street Lab,Shopping,Retail,Craft beer and local fare,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Din Tai Fung,Shopping,Retail,Renowned Taiwanese restaurant famous for xiaolongbao,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Paradise Dynasty,Shopping,Retail,Known for signature colorful xiaolongbao,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Koi Thé,Shopping,Retail,Premium Taiwanese bubble tea,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Ya Kun Kaya Toast,Shopping,Retail,Traditional Singaporean breakfast sets,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Sushi Tei,Shopping,Retail,Premium sushi and Japanese cuisine,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Song Fa Bak Kut Teh,Shopping,Retail,Award-winning pork rib soup,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Ambassador Transit Hotel,Shopping,Retail,In-terminal hotel for transiting passengers,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,YOTELAIR Singapore Changi,Shopping,Retail,Modern capsule-style transit hotel inside the terminal,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Singapore Airlines SilverKris Lounge,Services,Lounge,Premium lounge for Singapore Airlines first and business class passengers,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Plaza Premium Lounge,Services,Lounge,Award-winning independent airport lounge,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,SATS Premier Lounge,Services,Lounge,Comfortable lounge with shower facilities,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,UOB Currency Exchange,Services,Banking,Competitive rates for currency exchange,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Telecommunications Kiosk,Shopping,Retail,SIM cards and mobile services,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,TRS Tax Refund,Shopping,Retail,Tourist refund scheme counter,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Spa Express,Shopping,Retail,Quick massage and spa treatments,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Lotte Duty Free,Shopping,Duty-Free Store,Korean duty-free retailer,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Charles & Keith,Shopping,Retail,Singaporean footwear and accessories brand,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Zara,Shopping,Retail,Spanish fast fashion retailer,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,TWG Tea,Food & Beverage,Tea Boutique,Luxury tea brand,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Tokyu Hands ,Shopping,Retail,Japanese lifestyle store,SIN-T4,SIN,,,false,,,false,,{},,,{},active,
,Canopy Park,Attraction,,"Indoor park with nets, mazes and slides",SIN-T4,SIN,Chill; Explore,canopy-park-t4,true,,,false,$$,{},,,{},active,
,Tokyu Hands,Services,,Japanese lifestyle store,SIN-T4,SIN,Explore,tokyu-hands-t4,true,,,false,$$,{},,,{},active,
,Rhythm of Nature,Attraction,,,SIN-JEWEL,SIN,Explore,rhythm-of-nature,false,,,false,,,,,,active,
,FILA,Shopping,,,SIN-JEWEL,SIN,Shop,fila,false,,,false,,,,,,active,
,Furla,Shopping,,,SIN-JEWEL,SIN,Shop,furla,false,,,false,,,,,,active,
,Irvins Salted Egg,Shopping,,,SIN-JEWEL,SIN,Shop,irvins-salted-egg,false,,,false,,,,,,active,
,The Digital Gadgets,Shopping,,,SIN-JEWEL,SIN,Shop,the-digital-gadgets,false,,,false,,,,,,active,
,Uniqlo,Shopping,,,SIN-JEWEL,SIN,Shop,uniqlo,false,,,false,,,,,,active,
,fila-jewel,Shopping,Fashion & Accessories,,SIN-JEWEL,SIN,Shop,,false,,,false,,{},,,{},active,
,furla-jewel,Shopping,Fashion & Accessories,,SIN-JEWEL,SIN,Shop,,false,,,false,,{},,,{},active,
,irvins-salted-egg-jewel,Food & Beverage,Snacks,,SIN-JEWEL,SIN,Shop,,false,,,false,,{},,,{},active,
,rhythm-of-nature,Shopping,Retail,,SIN-JEWEL,SIN,Explore,,false,,,false,,{},,,{},active,
,the-digital-gadgets-jewel,Shopping,Retail,,SIN-JEWEL,SIN,Shop,,false,,,false,,{},,,{},active,
,uniqlo-jewel,Shopping,Fashion & Accessories,,SIN-JEWEL,SIN,Shop,,false,,,false,,{},,,{},active,
,Canopy Park,Shopping,Retail,"Indoor park with nets, mazes and slides",SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Foggy Bowls,Shopping,Retail,Mist-filled play areas for children,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Hedge Maze,Shopping,Retail,Singapore's largest hedge maze,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Manulife Sky Nets,Shopping,Retail,Walking and bouncing nets suspended in the air,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Mirror Maze,Shopping,Retail,Immersive mirror maze experience,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Rain Vortex,Shopping,Retail,The world's tallest indoor waterfall,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Shiseido Forest Valley,Shopping,Retail,Lush indoor forest with walking trails,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Changi Experience Studio,Shopping,Retail,Interactive digital attraction about Changi Airport,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Social Tree,Shopping,Retail,Interactive installation for photo sharing,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Bengawan Solo,Shopping,Retail,Traditional Singaporean cakes and kueh,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Tiger Street Lab,Shopping,Retail,Craft beer and local fare,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Din Tai Fung,Shopping,Retail,Renowned Taiwanese restaurant famous for xiaolongbao,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Koi Thé,Shopping,Retail,Premium Taiwanese bubble tea,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Song Fa Bak Kut Teh,Shopping,Retail,Award-winning pork rib soup,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Travelex,Services,Currency Exchange,Global foreign exchange services,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,UOB Currency Exchange,Services,Banking,Competitive rates for currency exchange,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Telecommunications Kiosk,Shopping,Retail,SIM cards and mobile services,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,TRS Tax Refund,Shopping,Retail,Tourist refund scheme counter,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Spa Express,Shopping,Retail,Quick massage and spa treatments,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Kinokuniya,Shopping,Retail,Comprehensive Japanese bookstore,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Zara,Shopping,Retail,Spanish fast fashion retailer,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Eu Yan Sang,Shopping,Retail,Traditional Chinese medicine,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
,Muji,Shopping,Retail,Minimalist Japanese home goods,SIN-JEWEL,SIN,,,false,,,false,,{},,,{},active,
3,caffe-nero-t3-departures,General,,"Ever since we opened our first coffee house in 1997, Caffè Nero has been dedicated to two things: creating the very finest handcrafted Italian coffee and providing a warm and relaxing atmosphere in which to enjoy it.",,SIN,,,false,4,15 min,false,,,,,,active,transit
As every second counts when you're flying,"Quick},false,false,,,LHR-T3,LHR,",General,,,,SIN,,,false,4,15 min,false,,,,,,active,transit
4,caffe-nero-t3-gate-b36,General,,"Ever since we opened our first coffee house in 1997, Caffè Nero has been dedicated to two things: creating the very finest handcrafted Italian coffee and providing a warm and relaxing atmosphere in which to enjoy it.",,SIN,,,false,4,15 min,false,,,,,,active,transit
As every second counts when you're flying,"Quick},false,false,,05:00-22:30,LHR-T3,LHR,",General,,,,SIN,,,false,4,15 min,false,,,,,,active,transit
5,caffe-nero-t4-gate-16,General,,"Ever since we opened our first coffee house in 1997, Caffè Nero has been dedicated to two things: creating the very finest handcrafted Italian coffee and providing a warm and relaxing atmosphere in which to enjoy it.",,SIN,,,false,4,15 min,false,,,,,,active,transit
As every second counts when you're flying,"Quick},false,false,,05:30-22:30,LHR-T4,LHR,",General,,,,SIN,,,false,4,15 min,false,,,,,,active,transit
6,caffe-nero-t5-arrivals,General,,"Ever since we opened our first coffee house in 1997, Caffè Nero has been dedicated to two things: creating the very finest handcrafted Italian coffee and providing a warm and relaxing atmosphere in which to enjoy it.",,SIN,,,false,4,15 min,false,,,,,,active,transit
As every second counts when you're flying,"Quick},false,false,,00:00-24:00,LHR-T5,LHR,",General,,,,SIN,,,false,4,15 min,false,,,,,,active,transit
7,caffe-nero-t5-check-in,General,,"Ever since we opened our first coffee house in 1997, Caffè Nero has been dedicated to two things: creating the very finest handcrafted Italian coffee and providing a warm and relaxing atmosphere in which to enjoy it.",,SIN,,,false,4,15 min,false,,,,,,active,transit
As every second counts when you're flying,"Quick},false,false,,05:00-23:30,LHR-T5,LHR,",General,,,,SIN,,,false,4,15 min,false,,,,,,active,transit
